ticker,company,sector,employees,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue
ARX.TO,ARC Resources Ltd.,Energy,,2022,9850400000.0,2302300000.0,5544200000.0,-1428800000.0,3833300000.0,0.23372654917566799,0.14504994721026557
ARX.TO,ARC Resources Ltd.,Energy,,2023,6361900000.0,1596500000.0,3173000000.0,-1838300000.0,2394300000.0,0.250947044122039,0.28895455760071675
ARX.TO,ARC Resources Ltd.,Energy,,2024,5623900000.0,1124100000.0,2726900000.0,-1832900000.0,2348600000.0,0.19987908746599334,0.3259126229129252
ARX.TO,ARC Resources Ltd.,Energy,,2025,6612500000.0,1275100000.0,3363600000.0,-1890500000.0,3093500000.0,0.19283175803402647,0.2858979206049149
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,146000.0,2022,62809900000.0,2683300000.0,11004800000.0,-1664500000.0,3944900000.0,0.042720972330794985,0.02650059942779721
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,146000.0,2023,71856700000.0,3090900000.0,12052100000.0,-1803800000.0,4344600000.0,0.04301477802348285,0.025102739201772417
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,146000.0,2024,69263500000.0,2729700000.0,12097900000.0,-1943100000.0,4817200000.0,0.03941036765395916,0.028053736816649463
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,146000.0,2025,72856800000.0,2580400000.0,13021300000.0,-2326600000.0,5037100000.0,0.03541742157217995,0.031933875767258514
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,5800.0,2022,0.0,19000000.0,37000000.0,-13000000.0,-374000000.0,,
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,5800.0,2023,3714000000.0,1839000000.0,2666000000.0,,1439000000.0,0.49515347334410337,
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,5800.0,2024,3989000000.0,2168000000.0,2835000000.0,,1612000000.0,0.5434946101779895,
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,5800.0,2025,4608000000.0,2485000000.0,3235000000.0,,2101000000.0,0.5392795138888888,
BB.TO,BlackBerry Limited,Technology,1820.0,2022,718000000.0,12000000.0,467000000.0,-39000000.0,-28000000.0,0.016713091922005572,0.054317548746518104
BB.TO,BlackBerry Limited,Technology,1820.0,2023,526300000.0,-734400000.0,366600000.0,-40900000.0,-262200000.0,-1.3954018620558617,0.0777123313699411
BB.TO,BlackBerry Limited,Technology,1820.0,2024,759100000.0,-130200000.0,490700000.0,-20900000.0,-3500000.0,-0.17151890396522199,0.027532604399947307
BB.TO,BlackBerry Limited,Technology,1820.0,2025,534900000.0,-79000000.0,394900000.0,-10100000.0,16500000.0,-0.14769115722564966,0.01888203402505141
BMO.TO,Bank of Montreal,Financial Services,53234.0,2022,26259000000.0,13537000000.0,,-1448000000.0,4957000000.0,0.5155184888990442,0.05514299859095929
BMO.TO,Bank of Montreal,Financial Services,53234.0,2023,31115000000.0,4425000000.0,,-1677000000.0,9591000000.0,0.14221436606138518,0.05389683432428089
BMO.TO,Bank of Montreal,Financial Services,53234.0,2024,32041000000.0,7318000000.0,,-1564000000.0,26703000000.0,0.22839486907399895,0.048812459036859025
BMO.TO,Bank of Montreal,Financial Services,53234.0,2025,36099000000.0,8709000000.0,,-1729000000.0,10240000000.0,0.24125322031081192,0.04789606360286989
BN.TO,Brookfield Corporation,Financial Services,,2022,92769000000.0,2056000000.0,14258000000.0,-7236000000.0,8751000000.0,0.022162575860470633,0.07800019403033341
